,state,county,candidate,party,total_votes_x,won,total_votes_y
0,Delaware,Kent County,Joe Biden,DEM,44552,True,504010
1,Delaware,Kent County,Donald Trump,REP,41009,False,504010
2,Delaware,Kent County,Jo Jorgensen,LIB,1044,False,504010
3,Delaware,Kent County,Howie Hawkins,GRN,420,False,504010
4,Delaware,New Castle County,Joe Biden,DEM,195034,True,504010
5,Delaware,New Castle County,Donald Trump,REP,88364,False,504010
6,Delaware,New Castle County,Jo Jorgensen,LIB,2953,False,504010
7,Delaware,New Castle County,Howie Hawkins,GRN,1282,False,504010
8,Delaware,Sussex County,Donald Trump,REP,71230,True,504010
9,Delaware,Sussex County,Joe Biden,DEM,56682,False,504010
10,Delaware,Sussex County,Jo Jorgensen,LIB,1003,False,504010
11,Delaware,Sussex County,Howie Hawkins,GRN,437,False,504010
12,District of Columbia,District of Columbia,Joe Biden,DEM,39041,True,344356
13,District of Columbia,District of Columbia,Donald Trump,REP,1725,False,344356
14,District of Columbia,District of Columbia, Write-ins,WRI,298,False,344356
15,District of Columbia,District of Columbia,Howie Hawkins,GRN,259,False,344356
16,District of Columbia,District of Columbia,Jo Jorgensen,LIB,204,False,344356
17,District of Columbia,District of Columbia,Gloria La Riva,PSL,108,False,344356
18,District of Columbia,District of Columbia,Brock Pierce,IND,46,False,344356
19,District of Columbia,Ward 2,Joe Biden,DEM,29078,True,344356
20,District of Columbia,Ward 2,Donald Trump,REP,2918,False,344356
21,District of Columbia,Ward 2, Write-ins,WRI,370,False,344356
22,District of Columbia,Ward 2,Jo Jorgensen,LIB,302,False,344356
23,District of Columbia,Ward 2,Howie Hawkins,GRN,124,False,344356
24,District of Columbia,Ward 2,Gloria La Riva,PSL,50,False,344356
25,District of Columbia,Ward 2,Brock Pierce,IND,39,False,344356
26,District of Columbia,Ward 3,Joe Biden,DEM,39397,True,344356
27,District of Columbia,Ward 3,Donald Trump,REP,3705,False,344356
28,District of Columbia,Ward 3, Write-ins,WRI,491,False,344356
29,District of Columbia,Ward 3,Jo Jorgensen,LIB,344,False,344356
30,District of Columbia,Ward 3,Howie Hawkins,GRN,159,False,344356
31,District of Columbia,Ward 3,Gloria La Riva,PSL,74,False,344356
32,District of Columbia,Ward 3,Brock Pierce,IND,61,False,344356
33,District of Columbia,Ward 4,Joe Biden,DEM,42489,True,344356
34,District of Columbia,Ward 4,Donald Trump,REP,1913,False,344356
35,District of Columbia,Ward 4, Write-ins,WRI,308,False,344356
36,District of Columbia,Ward 4,Howie Hawkins,GRN,234,False,344356
37,District of Columbia,Ward 4,Jo Jorgensen,LIB,161,False,344356
38,District of Columbia,Ward 4,Gloria La Riva,PSL,125,False,344356
39,District of Columbia,Ward 4,Brock Pierce,IND,66,False,344356
40,District of Columbia,Ward 5,Joe Biden,DEM,43320,True,344356
